order,seasonal_order,mape,mae,rmse,aic,bic
"(2, 1, 0)","(1, 0, 0, 12)",39.53583578264907,31603.948552464135,33302.95265141483,1626.6592606409927,1635.4178796090985
"(2, 1, 0)","(1, 0, 1, 12)",33.81779643470424,26264.384053740137,27521.25779431662,1628.0544578491547,1639.0027315592868
"(2, 1, 0)","(1, 1, 0, 12)",35.825595600165535,27539.735616255482,30834.094324729067,1338.782534582024,1346.738470768281
"(2, 1, 0)","(1, 1, 1, 12)",112.48305337292943,82424.31733081686,89807.73792440658,1337.7485733801748,1347.6934936129962
"(2, 1, 0)","(2, 0, 0, 12)",26.00964840804884,19660.511792378093,21339.826446585816,1338.252425963824,1348.1973461966454
"(2, 1, 0)","(2, 0, 1, 12)",71.43164049632263,50800.07703339551,56706.00730151989,1338.1219569426678,1350.0558612220534
"(2, 1, 0)","(2, 1, 0, 12)",39.63473892382595,31469.707295735734,36483.70364173017,1052.1396694579732,1060.82801754939
"(2, 1, 0)","(2, 1, 1, 12)",121.77102713701133,88202.57156928485,95380.45353730331,1050.1006782275056,1060.526695937206
"(2, 1, 1)","(0, 0, 0, 12)",18.06125437718763,19032.661900823234,35295.92478046782,1953.370711628983,1962.7975469357414
"(2, 1, 1)","(0, 0, 1, 12)",32.609659456937564,31509.645393720144,44643.972776767936,1636.9991308587414,1647.9474045688735
"(2, 1, 1)","(0, 1, 0, 12)",62.06123903072528,45448.14725564718,47392.07689575417,1633.1217942638543,1641.8804132319601
"(2, 1, 1)","(0, 1, 1, 12)",33.19326675837599,23503.837003138833,26795.798157820707,1343.3976448932867,1353.3425651261082
"(2, 1, 1)","(1, 0, 0, 12)",39.90025311600313,31862.816347337528,33539.80935708936,1628.7023022670708,1639.6505759772028
